,trail_id,description,length_elev_type,tags,coords
0,/trail/canada/nova-scotia/cape-split-trail,"Cape Split Trail is a 7.5 mile heavily trafficked out and back trail located near Glenmont, Nova Scotia, Canada that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, running, nature trips, and bird watching and is best used from April until October. Dogs are also able to use this trail.","['7.5 mi', '1,387 ft', 'Out & back']","['Hiking', 'Nature trips', 'Bird watching', 'Running', 'Dog friendly', 'Forest', 'Views', 'Wildflowers', 'Wildlife', 'Muddy']","{'latitude': '45.31532', 'longitude': '-64.4312'}"
1,/trail/canada/nova-scotia/franey-trail,"Franey Trail is a 4.5 mile heavily trafficked loop trail located near Ingonish Beach, Nova Scotia, Canada that features a lake and is rated as moderate. The trail is primarily used for hiking, running, nature trips, and snowshoeing and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['4.5 mi', '1,118 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Nature trips', 'Snowshoeing', 'Running', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife', 'Muddy', 'Fee']","{'latitude': '46.66082', 'longitude': '-60.42271'}"
2,/trail/canada/nova-scotia/skyline-trail-loop,"Skyline Trail Loop is a 6 mile heavily trafficked loop trail located near La Prairie, Nova Scotia, Canada that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from April until October.","['6.0 mi', '738 ft', 'Loop']","['Wheelchair friendly', 'Kid friendly', 'Stroller friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'Partially paved', 'Views', 'Wildflowers', 'Wildlife', 'No dogs']","{'latitude': '46.73795', 'longitude': '-60.88084'}"
3,/trail/canada/nova-scotia/pot-lake-loop,"Pot Lake Loop is a 4.6 mile heavily trafficked loop trail located near Timberlea, Nova Scotia, Canada that features a lake and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail.","['4.6 mi', '475 ft', 'Loop']","['Hiking', 'Nature trips', 'Snowshoeing', 'Bird watching', 'Running', 'Dog friendly', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife', 'Blowdown', 'Bugs', 'Muddy', 'Rocky', 'Scramble', 'Snow']","{'latitude': '44.66556', 'longitude': '-63.7629'}"
4,/trail/canada/nova-scotia/cape-chignecto,"Cape Chignecto Loop Trail is a 27.9 mile moderately trafficked loop trail located near West Advocate, Nova Scotia, Canada that features a waterfall and is rated as difficult. The trail offers a number of activity options and is best used from June until October. Dogs are also able to use this trail but must be kept on leash.","['27.9 mi', '6,482 ft', 'Loop']","['Dogs on leash', 'Backpacking', 'Camping', 'Hiking', 'Mountain biking', 'Nature trips', 'Bike touring', 'Bird watching', 'Running', 'Beach', 'Forest', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Muddy', 'Rocky']","{'latitude': '45.35035', 'longitude': '-64.82473'}"
5,/trail/canada/nova-scotia/gaff-point-and-hirtles-beach,"Gaff Point and Hirtle's Beach is a 4.1 mile moderately trafficked out and back trail located near Kingsburg, Nova Scotia, Canada that features a great forest setting and is rated as moderate. The trail is primarily used for hiking. Dogs are also able to use this trail but must be kept on leash.","['4.1 mi', '236 ft', 'Out & back']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Beach', 'Forest', 'Views', 'Rocky']","{'latitude': '44.26554', 'longitude': '-64.27339'}"
6,/trail/canada/nova-scotia/middle-head-trail,"Middle Head Trail is a 2.8 mile heavily trafficked loop trail located near Ingonish Beach, Nova Scotia, Canada that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.","['2.8 mi', '518 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Nature trips', 'Snowshoeing', 'Bird watching', 'Running', 'Beach', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '46.65543', 'longitude': '-60.37223'}"
7,/trail/canada/nova-scotia/admiral-lake-trail-loop,"Admiral Lake Trail Loop is a 5.8 mile moderately trafficked loop trail located near Musquodoboit Harbour, Nova Scotia, Canada that features a lake and is rated as difficult. The trail is primarily used for hiking and mountain biking and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.","['5.8 mi', '675 ft', 'Loop']","['Dogs on leash', 'Hiking', 'Mountain biking', 'Forest', 'Lake', 'River', 'Views', 'Wildflowers', 'Wildlife', 'Rocky']","{'latitude': '44.79156', 'longitude': '-63.14972'}"
8,/trail/canada/nova-scotia/duncans-cove-trail,"Duncan's Cove Trail is a 4.6 mile heavily trafficked out and back trail located near Duncans Cove, Nova Scotia, Canada that features a river and is rated as moderate. The trail is primarily used for hiking, nature trips, and bird watching and is best used from May until September. Dogs are also able to use this trail but must be kept on leash.","['4.6 mi', '606 ft', 'Out & back']","['Dogs on leash', 'Hiking', 'Nature trips', 'Bird watching', 'River', 'Views', 'Wildflowers', 'Wildlife', 'Bugs', 'Muddy', 'Over grown', 'Rocky', 'Scramble', 'Snow', 'No shade']","{'latitude': '44.50003', 'longitude': '-63.53873'}"
9,/trail/canada/nova-scotia/ash-lake-and-fox-lake-via-hobsons-lake-trail,"Ash Lake and Fox Lake via Hobsons Lake Trail is a 4.8 mile moderately trafficked loop trail located near Timberlea, Nova Scotia, Canada that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from April until October.","['4.8 mi', '472 ft', 'Loop']","['Backpacking', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'Lake', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Blowdown', 'Bugs', 'Muddy', 'Over grown', 'Rocky']","{'latitude': '44.69515', 'longitude': '-63.70515'}"
